region_psgc,province_psgc,city_muni_psgc,barangay_psgc,barangay_name,latitude,longitude
040000000,041000000,041001000,041001001,Adia,13.943445,120.930164
040000000,041000000,041001000,041001002,Bagong Sikat,13.939772,120.933280
040000000,041000000,041001000,041001004,Balangon,13.920209,120.915416
040000000,041000000,041001000,041001005,Bilibinwang,13.989693,120.943229
040000000,041000000,041001000,041001006,Bangin,13.927115,120.923679
040000000,041000000,041001000,041001007,Barigon,13.985364,120.920470
040000000,041000000,041001000,041001008,Coral Na Munti,13.933503,120.913458
040000000,041000000,041001000,041001009,Guitna,13.934754,120.937686
040000000,041000000,041001000,041001010,Mabini,13.927948,120.913282
040000000,041000000,041001000,041001012,Pamiga,13.939091,120.923396
040000000,041000000,041001000,041001013,Panhulan,13.942277,120.942715
040000000,041000000,041001000,041001014,Pansipit,13.927890,120.941983
040000000,041000000,041001000,041001015,Poblacion,13.934629,120.931205
040000000,041000000,041001000,041001016,Pook,13.926930,120.931748
040000000,041000000,041001000,041001017,San Jacinto,13.959021,120.911007
040000000,041000000,041001000,041001018,San Teodoro,13.934179,120.943532
040000000,041000000,041001000,041001019,Santa Cruz,13.914668,120.918390
040000000,041000000,041001000,041001020,Santo Tomas,13.937693,120.942048
040000000,041000000,041001000,041001021,Subic Ibaba,13.951251,120.931292
040000000,041000000,041001000,041001022,Subic Ilaya,13.968479,120.940640
040000000,041000000,041001000,041001023,Banyaga,14.008289,120.942016
040000000,041000000,041002000,041002001,Balagbag,13.867187,121.013569
040000000,041000000,041002000,041002002,Concepcion,13.866591,121.017657
040000000,041000000,041002000,041002003,Concordia,13.851052,121.023976
040000000,041000000,041002000,041002004,Dalipit East,13.868342,121.033975
040000000,041000000,041002000,041002005,Dalipit West,13.866770,121.027429
040000000,041000000,041002000,041002006,Dominador East,13.877290,121.033075
040000000,041000000,041002000,041002007,Dominador West,13.873620,121.025124
040000000,041000000,041002000,041002008,Munlawin Sur,13.854674,121.029904
040000000,041000000,041002000,041002009,Munlawin Norte,13.860062,121.030872
040000000,041000000,041002000,041002011,Muzon Primero,13.853256,120.992792
040000000,041000000,041002000,041002012,Muzon Segundo,13.847586,121.001214
040000000,041000000,041002000,041002013,Pinagkurusan,13.868543,121.021132
040000000,041000000,041002000,041002014,Ping-As,13.887156,121.025791
040000000,041000000,041002000,041002015,Poblacion East,13.871979,121.006187
040000000,041000000,041002000,041002016,Poblacion West,13.870527,121.000526
040000000,041000000,041002000,041002018,San Jose,13.863489,120.997731
040000000,041000000,041002000,041002019,Santa Cruz,13.870060,120.993715
040000000,041000000,041002000,041002020,Tadlac,13.881485,121.010908
040000000,041000000,041002000,041002021,San Juan,13.857937,121.009278
040000000,041000000,041003000,041003001,Baclaran,13.932603,120.773845
040000000,041000000,041003000,041003003,Barangay 1,13.932402,120.728663
040000000,041000000,041003000,041003004,Barangay 10,13.934936,120.734708
040000000,041000000,041003000,041003005,Barangay 11,13.934526,120.732056
040000000,041000000,041003000,041003006,Barangay 12,13.938339,120.730745
040000000,041000000,041003000,041003007,Barangay 2,13.936827,120.725260
040000000,041000000,041003000,041003008,Barangay 3,13.940271,120.727241
